0, 100000, 100000, 
5, 86000, 99643.2, 
10, 72000, 99052.6, 
15, 58000, 98368.2, 
20, 44000, 97662, 
25.0001, 30000, 96995.8, 
30.0001, 16000, 96439.5, 
35, 2000, 95886.3, 
40, 0, 95195.3, 
44.9999, 0, 94509.3, 
49.9998, 0, 93828.3, 
54.9997, 0, 93152.2, 
59.9997, 0, 92480.9, 
64.9996, 0, 91814.5, 
69.9995, 0, 91152.9, 
74.9994, 0, 90496, 
79.9994, 0, 89843.9, 
84.9993, 0, 89196.5, 
89.9992, 0, 88553.7, 
94.9991, 0, 87915.6, 
99.999, 0, 87282.1, 
